timestamp,timestamp exit,arm,lane,Occupancy North,Occupancy South,Sense North,Sense South,total_occupancy
2017-12-29T17:53:55.141999,2017-12-29T18:02:12.655099,A0:E6:F8:2C:D2:9E,BB_SP_5.1,497.5131,0.0,656,0,497.5131
2017-12-29T16:26:25.333402,2017-12-29T17:37:56.635102,A0:E6:F8:2B:32:91,BB_SP_2.2,1.7955,4289.5062,1973,1996,4291.3017
2017-12-29T17:25:10.836747,2017-12-29T17:26:56.815347,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.0,105.9786,0,1359,105.9786
2017-12-29T17:04:17.302410,2017-12-29T17:15:27.985710,A0:E6:F8:2B:32:A5,BB_SP_1.2,669.7089,0.9744,2200,536,670.6833
2017-12-29T16:59:12.966841,2017-12-29T17:04:15.868741,A0:E6:F8:2C:D2:A5,BB_SP_1.1,1.8942,301.0077,2266,1817,302.9019
2017-12-29T17:01:45.799886,2017-12-29T17:04:12.969986,A0:E6:F8:2B:32:A5,BB_SP_1.2,147.1701,0.0,577,0,147.1701
2017-12-29T16:28:13.584629,2017-12-29T16:58:59.633729,A0:E6:F8:2B:32:A5,BB_SP_1.2,1845.7173,0.3318,570,395,1846.0491
2017-12-29T16:41:56.412220,2017-12-29T16:46:09.290020,A0:E6:F8:2B:2F:D0,BB_SP_2.1,0.5208,252.357,829,658,252.8778
2017-12-29T16:04:08.438042,2017-12-29T16:27:13.644242,A0:E6:F8:2B:32:A5,BB_SP_1.2,0.0,1385.2062,0,496,1385.2062
2017-12-29T16:18:07.299538,2017-12-29T16:26:27.546838,A0:E6:F8:2C:D0:D5,BB_SP_5.2,0.0,500.2473,127,1776,500.2473
2017-12-29T16:24:46.102564,2017-12-29T16:26:24.166264,A0:E6:F8:2B:32:91,BB_SP_2.2,0.0,98.0637,44,358,98.0637
2017-12-29T16:18:09.509078,2017-12-29T16:26:21.868778,A0:E6:F8:2C:D2:9E,BB_SP_5.1,0.0,492.3597,0,279,492.3597
2017-12-29T16:14:16.982782,2017-12-29T16:16:42.936982,A0:E6:F8:2B:32:91,BB_SP_2.2,0.0,145.9542,146,1984,145.9542
2017-12-29T16:11:27.503833,2017-12-29T16:13:57.895333,A0:E6:F8:2B:32:91,BB_SP_2.2,150.3915,0.0,584,0,150.3915
2017-12-29T15:55:18.751099,2017-12-29T16:11:18.024799,A0:E6:F8:2B:32:91,BB_SP_2.2,0.0,959.2737,0,416,959.2737
2017-12-29T15:52:06.259598,2017-12-29T16:10:39.931598,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.0,1113.672,117,1910,1113.672
2017-12-29T16:04:44.278842,2017-12-29T16:11:03.816042,A0:E6:F8:2B:2F:BE,BB_SP_4.1,379.5372,0.0,185,0,379.5372
2017-12-29T16:03:22.118885,2017-12-29T16:04:41.849585,A0:E6:F8:2B:2F:BE,BB_SP_4.1,79.7307,0.0,177,0,79.7307
2017-12-29T15:53:07.654515,2017-12-29T16:03:59.589015,A0:E6:F8:2B:32:A5,BB_SP_1.2,651.84,0.0945,648,167,651.9345
2017-12-29T15:55:30.254655,2017-12-29T16:03:18.010755,A0:E6:F8:2B:2F:BE,BB_SP_4.1,467.7561,0.0,184,0,467.7561
2017-12-29T15:52:06.917544,2017-12-29T15:55:30.027444,A0:E6:F8:2B:2F:BE,BB_SP_4.1,203.1099,0.0,172,0,203.1099
2017-12-29T15:35:59.987690,2017-12-29T15:55:08.979590,A0:E6:F8:2B:32:91,BB_SP_2.2,277.0278,871.9641,872,1989,1148.9919
2017-12-29T15:41:16.522035,2017-12-29T15:52:58.598235,A0:E6:F8:2B:32:A5,BB_SP_1.2,699.9594,2.1168,471,542,702.0762
2017-12-29T15:46:01.988526,2017-12-29T15:49:18.315426,A0:E6:F8:2C:D0:D5,BB_SP_5.2,0.0,196.3269,0,408,196.3269
2017-12-29T15:42:56.995784,2017-12-29T15:46:00.575684,A0:E6:F8:2C:D0:D5,BB_SP_5.2,0.0,183.5799,0,235,183.5799
2017-12-29T15:34:15.860832,2017-12-29T15:43:51.504432,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.8988,574.7448,809,1910,575.6436
